open,high,low,close,volume,marketCap,timestamp
246,512.7923036058,514.7637473307,512.7548523386,513.145329486,98613666.81554265,8122751992.058955,2016-08-29
247,516.0539699415,537.5235362683,514.7099706567,536.3686677106,142575091.9035237,8500295908.1144085,2016-09-03
248,546.9742900824,559.2049266553,545.7361256585,555.8359771068,77167393.43241079,8838135306.176025,2016-09-08
249,540.9956619041,545.2212249456,540.4496774648,543.1407932888,77338375.30029362,8600787301.307945,2016-09-13
250,543.5078619628,546.8835887959,543.1250722245,546.6290431456,43639085.61183326,8679523385.549082,2016-09-18
251,533.9045246261,534.7931369062,531.9530805633,532.076357306,59967194.064539194,8465806931.813712,2016-09-22
252,540.5600752634,541.1458948753,538.7585707229,540.4957785332,43938833.57041252,8564465954.125177,2016-09-27
253,546.0713315368,546.1220358292,542.2769784185,543.9337804368,34910433.15840968,8639843980.27217,2016-10-02
254,549.9173888612,552.6940852457,549.9020167955,550.9516754573,57514721.72351885,8813824052.217236,2016-10-07
255,579.7114171684,580.6581938412,577.6249108587,577.8310777489,83555133.42379014,9161144082.767979,2016-10-12
256,585.3867139402,585.7450327646,580.6555367782,580.6094951077,52958409.33965706,9285377848.869026,2016-10-17
257,581.8195059071,604.8493121525,581.5566767009,604.0194875461,72189391.6559456,9625494999.448631,2016-10-22
258,621.8153380928,631.7955721999,621.5988064057,631.6536553925,88113409.73686624,10062188186.027323,2016-10-27
259,639.4392551948,671.516391326,639.3226755676,660.1474715379,119007111.59737419,10615302292.122538,2016-11-01
260,631.5047211474,640.8775196101,627.6895446914,641.4152823008,53748048.45222073,10190565559.62315,2016-11-06
261,657.3167303654,660.5222925647,655.0614094485,660.2866458453,57982454.52875253,10510969493.110416,2016-11-11
262,663.1545992051,700.1451491238,659.0806855037,695.1872938317,131754942.18575159,11097017846.419247,2016-11-16
263,691.1767624276,700.3984748473,689.0953775735,695.1085903525,57469187.14555766,11179492387.712666,2016-11-21
264,700.1992316602,700.8630682321,688.9754485364,694.4117271416,51900566.57223796,11116993294.523134,2016-11-26
265,704.6146774724,711.7280124029,704.2156130903,709.7861440784,75993486.96637703,11449217263.883642,2016-12-01
266,705.3923119218,713.8666753169,705.3267367325,713.0285491915,108049460.76608405,11388143334.603943,2016-12-06
267,733.8056584203,733.8491888926,724.9592605652,730.0180368612,54284334.15419587,11692449373.176739,2016-12-11
268,747.9959791582,751.5863881492,748.2833935594,751.4667136638,80284424.81275207,12094767177.453428,2016-12-16
269,770.6651091862,800.269549985,768.8065294257,800.269549985,149750697.8534989,12893873484.743479,2016-12-21
270,858.1180915584,873.7766921788,857.6190574239,868.6925587209,118418484.50057405,13950813219.479525,2016-12-26
271,913.7515591745,916.7154769876,901.0140045175,916.7154769876,94297635.30866545,14736568269.951488,2016-12-31
272,1002.688195482,1105.5783769861,1003.6517628427,1100.2667751012,331169339.4777266,17830135377.304146,2017-01-04
273,867.3606406636,868.4402377351,834.7315055369,853.0926986012,134748781.4607275,13798856078.734922,2017-01-09
274,775.4365461973,784.7805863854,763.5147012991,769.1119136403,87457284.08984119,12384740148.294333,2017-01-14
275,835.8440176634,848.6060165777,831.7701398564,843.6454893937,99383703.42491531,13630614132.574331,2017-01-19
276,846.5901291746,859.3500274607,831.8131917052,832.2646016397,103513061.26243377,13380149098.261597,2017-01-24
277,862.2283678713,863.4917054284,858.2949017218,858.1390309656,56902655.69478212,13871683118.0101,2017-01-29
278,939.9312535756,961.4712127938,937.7114501091,955.3010241904,187043955.0227674,15450097099.618994,2017-02-03
279,995.0542771535,1010.3661117175,974.4434960406,994.5457444935,189073630.57324842,16083551074.466093,2017-02-08
280,940.8354617742,940.8506014327,919.0226122035,934.7443185588,94760290.10078177,15079892721.861166,2017-02-13
281,988.7946102512,999.9999769917,986.6741691994,993.7046875368,93368677.78720196,16069234599.472246,2017-02-18
282,1059.0237151955,1111.9070072927,1058.1280418127,1102.4472934925,179577251.18483412,17893310043.601894,2017-02-23
283,1115.6760566032,1127.4092970522,1106.8479704251,1116.5499344276,174767079.2780875,18051294340.73514,2017-02-28
284,1181.0640669138,1193.9796863223,1165.7815994291,1193.2573642689,126296610.16949153,19327905150.659134,2017-03-05
285,1124.265039561,1198.2174579865,1008.3777964991,1046.6960077825,532938810.8516873,17109545904.14973,2017-03-10
286,1168.8595986613,1179.5400860914,1167.9227508243,1164.0521521673,280683310.08482563,19100689290.48068,2017-03-15
287,965.5929903504,989.3252948319,964.0844915009,982.0493530217,266738022.7145783,15925587803.295475,2017-03-20
288,867.4075928752,903.7334318127,837.0038091093,900.9715584877,403633424.09928685,14628860888.765398,2017-03-25
289,968.776687988,975.8114377964,950.0232635069,960.4473226452,328099081.61368287,15500638655.883993,2017-03-30
290,1073.7907944612,1086.8796441788,1051.2430992882,1061.493068565,408989516.31046116,17267774711.75478,2017-04-04
291,1110.8099946083,1130.2964132718,1106.3632792216,1122.8565980879,228798157.0996979,18240664583.836857,2017-04-09
292,1102.7324564729,1121.9144986133,1091.978193261,1100.5184645702,240108365.21247527,17902949229.71827,2017-04-14
293,1121.6480499213,1144.4402164574,1122.2807366092,1129.7622787369,254180212.346143,18535502186.413605,2017-04-18
294,1148.8576368044,1149.1186712411,1106.969420197,1110.282314851,241491194.6283689,18340011325.655132,2017-04-23
295,1212.8301796911,1225.0667427044,1185.878138298,1208.3340802834,485493780.0276116,19749350715.140358,2017-04-28
296,1329.5957831506,1371.5270300728,1326.26900333,1368.6873939748,533927170.2944942,22225749885.952076,2017-05-03
297,1456.5122618983,1577.5814496393,1455.9810758072,1577.5814496393,1222473549.7993433,25650646962.96972,2017-05-08
298,1576.9378558774,1659.1836645322,1511.0093859748,1651.7891774318,530461250.11439556,26971011126.01812,2017-05-13
299,1630.9747566782,1714.3577103868,1619.7185579611,1699.9550174744,802009706.7527575,27671576392.251816,2017-05-18
300,1950.3070735906,2076.4248620912,1938.5121907813,2076.4384088367,1226973348.7585654,33757857137.581203,2017-05-23
301,1836.9523145457,2027.6695473892,1836.9523145457,1928.9549470545,1025880851.3682704,31536550804.507244,2017-05-28
302,2144.1580710818,2206.5526235397,2114.8815437171,2206.5526235397,1174661091.6874776,36329371954.24545,2017-06-02
303,2546.2595463772,2546.0336138531,2398.7920222009,2427.5076962322,1346800915.7866714,39709146524.00391,2017-06-07
304,2636.8035452706,2675.4083814743,2249.7186767251,2375.5179374888,2294223314.285714,38915492439.73214,2017-06-12
305,2245.654318683,2398.5618056331,2219.7051906543,2372.3804223426,1370710095.5783832,38899536803.57302,2017-06-17
306,2410.0215200581,2441.0646981846,2366.0101248405,2427.0296152412,983288525.8821422,39749458120.365395,2017-06-22
307,2216.6621511241,2251.8305700678,2067.3371645852,2251.8305700678,1332429972.274394,37471774013.95224,2017-06-27
308,2133.2632014217,2201.4534885709,2096.874256099,2194.4230176004,703744862.9717188,36045018142.89467,2017-07-02
309,2284.2294990286,2558.2418568104,2191.9913308662,2209.3508000959,803337975.4816113,36244498839.316986,2017-07-07
310,2033.4466697448,2122.5238295275,1982.001822962,2100.9284357073,974032468.6192468,34385987132.147835,2017-07-12
311,1684.6408604578,1943.4434000474,1684.6408604578,1942.3079509364,1047559274.7559274,31960768407.33961,2017-07-17
312,2289.0975148503,2455.3267471908,2279.7306235525,2410.4650173164,1009718634.4141362,39684628896.037056,2017-07-22
313,2164.2881167413,2306.3196338066,2157.0357222332,2285.9172050795,672722932.6513214,37522193603.49531,2017-07-27
314,2352.6947554145,2440.5575314084,2318.7676701797,2433.0175054075,732716028.9484887,40347666899.106,2017-07-31
315,2461.6684077925,2795.0131762515,2442.2989364752,2763.4949554918,1652960638.8582108,45572553354.770195,2017-08-05
316,2841.2175547446,2935.1095964405,2827.7280609107,2872.7952670322,1288139785.7507226,47433361673.18483,2017-08-10
317,3675.0384188678,3782.6572282205,3335.7642456367,3562.4245470494,2767156487.175132,58636703822.4053,2017-08-15
318,3562.3384851988,3568.2738427402,3460.7822132759,3477.3797635979,1794022095.2380953,57415373161.13946,2017-08-20
319,3672.8149734837,3748.6961091305,3651.5345012345,3666.2194713655,1464753791.641943,61237185292.19293,2017-08-25
320,3818.8167306829,3861.2251873905,3742.3921629143,3839.9359110838,1619192834.224599,63070458709.55882,2017-08-30
321,3865.0083188657,3864.6830088482,3452.4368927258,3562.3192554606,2514587582.4915824,58995876478.28283,2017-09-04
322,3515.174984288,3580.8358881565,3419.0225739892,3512.05855447,1152023615.058589,58143312126.81792,2017-09-09
323,3259.9008388186,3297.6701973726,2646.5218657564,2646.770093265,2284917577.3889637,43964883761.94482,2017-09-14
324,3406.1789624268,3421.9910300563,3228.6323267859,3272.9903024542,1307675612.0401337,54398984814.54849,2017-09-19
325,3176.1629035674,3176.1629035674,3068.0220066464,3088.0765452714,642582811.24498,51106066897.67403,2017-09-24
326,3541.5740870936,3575.962907528,3428.9389126167,3524.4410973745,1160582378.8097463,58651962518.04058,2017-09-29
327,3677.311524934,3701.5734466693,3579.9846287518,3597.9241712303,950766259.1520518,59786338820.023834,2017-10-04
328,3929.9267752778,4152.4469835199,3892.0866376737,4064.7529978971,1676664936.1267245,67520148989.26929,2017-10-09
329,4773.7521444394,4937.997120041,4729.8596994745,4932.9978337527,1411800047.3693116,82001774936.9819,2017-10-14
330,4734.3905667076,4848.37111551,4684.5600564019,4818.1296586185,1509699874.512464,80511114223.3339,2017-10-19
331,5049.7873230656,5049.3577367344,4679.2316380016,4700.3233004922,2327462964.0973287,78261209630.50876,2017-10-24
332,4957.305256208,5389.136768554,4931.581735118,5302.7575162915,2462991040.6616125,88286048923.15645,2017-10-29
333,6079.5417611565,6405.6404868325,6007.4975906376,6209.8386883992,2890598812.83239,103017160198.1472,2017-11-03
334,6156.8927345569,6709.594410591,6134.8913586851,6434.650169418,3967755896.197948,107216801447.53857,2017-11-08
335,5397.7966177763,5680.3993866822,4732.0670201706,5102.9758355221,7680142234.416531,85077761813.59856,2017-11-12
336,6667.9995111384,6788.7285588585,6415.8590103946,6536.9204056432,3949456627.6108,109204879488.87756,2017-11-17
337,6880.7071510328,7066.3543838837,6880.9391742022,6986.2449675703,3095000095.4003406,117374669577.51277,2017-11-22
338,7841.6363935294,8247.9415401336,7842.951552673,8247.9415401336,4739934763.14245,137519463477.82343,2017-11-27
339,9233.9976488245,9521.5747290037,9172.4279665026,9314.9967275423,4322062491.378585,155708671069.89655,2017-12-02
340,12085.8180357294,15205.3170393731,11917.0055990908,15205.3170393731,15207302202.643171,253647377371.2301,2017-12-07
341,14369.2575636943,15160.5429117998,14075.936132995,14832.9787842816,12402377538.853502,247544743702.76007,2017-12-12
342,16572.328779144,17094.1116405718,16157.795801222,16299.7537096568,11329645963.2403,272784690988.76788,2017-12-17
343,13413.7698278772,13478.2317952701,9983.9689503881,11665.5138776145,18729328059.399258,195568919555.3493,2017-12-22
344,13633.181511471,14249.2008000547,12703.2272690263,13310.7824186906,10532726153.846153,223987155912.61807,2017-12-27
345,11758.207128239,13014.7084983232,10961.3367180339,11372.4708096532,8574570904.849192,190900812694.5509,2018-01-01
346,14517.8746336673,14725.973055059,13937.9777264508,14571.8323910875,15226638217.492517,244610428728.79947,2018-01-06
347,12520.451857225,12563.8278439748,10970.0346452038,11133.4605138174,13830280190.715181,188355268966.95944,2018-01-11
348,11280.9617687525,11287.5893748981,8316.2577621543,9364.7106764466,15372034191.60212,157457089899.71463,2018-01-16
349,10547.6270010741,10553.1099759615,9199.8371599939,9464.8332321924,8130261682.487725,159647676752.04584,2018-01-21
